Time	First	Second	Third	Fourth	Fifth	Sixth	Seventh
3057.14 133651744.08 7590099.05 2938798.68 1463991.27 823567.60 509482.64 336772.55
3071.43 53460697.63 7425096.89 2918715.77 1472692.56 832226.60 515059.07 340062.51
3085.71 71280930.18 6600086.13 2584000.66 1320420.06 753333.45 475517.13 322715.43
3100.00 89101162.72 7672600.12 2918715.77 1466166.59 837037.16 511510.43 338866.16
3114.29 53460697.63 8580111.97 2999047.40 1398731.63 784121.02 497822.84 329295.36
3128.57 44550581.36 7755101.20 2918715.77 1429186.13 815870.70 498329.78 327201.75
3142.86 62370813.91 7672600.12 2684415.20 1348699.24 781234.68 486669.98 322416.35
3157.14 71280930.18 7507597.97 2563917.76 1305192.81 739863.88 476024.08 319126.38
3171.43 133651744.08 7507597.97 2912021.47 1405257.60 807211.70 497822.84 327500.83
3185.71 62370813.91 6847589.36 2838384.15 1400906.95 823567.60 510496.53 340361.60
3200.00 62370813.91 7383846.36 2891938.56 1392205.67 786045.24 497315.89 331089.88
3214.29 53460697.63 6393833.44 2590694.96 1403082.27 810098.03 506440.95 334978.02
3228.57 106921395.27 7218844.20 2503669.04 1239933.17 735053.32 469433.75 314041.89
3242.86 89101162.72 6806338.82 2644249.38 1305192.81 770651.46 482614.40 321519.08
3257.14 53460697.63 7053842.05 2523751.94 1296491.53 752371.33 483628.30 325706.31
3271.43 89101162.72 7590099.05 2811606.94 1366101.81 796628.47 500864.52 337370.72
3285.71 98011278.99 7837602.28 2798218.33 1394380.99 790855.80 490725.57 325706.31
3300.00 98011278.99 7590099.05 2845078.45 1392205.67 805287.48 504920.11 332884.41
3314.29 106921395.27 7713850.66 2945492.98 1418309.52 784121.02 494274.20 328099.01
3328.57 26730348.82 7590099.05 2737969.61 1400906.95 791817.91 503399.26 328398.10
3342.86 142561860.36 7301345.28 2831689.84 1440062.74 803363.25 498836.73 330491.71
3357.14 89101162.72 7177593.66 2804912.64 1357400.53 774499.90 470447.65 322416.35
3371.43 106921395.27 6806338.82 2744663.92 1374803.10 773537.79 486669.98 321519.08
3385.71 62370813.91 7590099.05 3106156.24 1507497.70 845696.17 523170.23 349633.31
3400.00 80191046.45 6517585.05 2744663.92 1413958.88 826453.93 512524.33 338567.07
3414.29 35640465.09 7672600.12 2751358.22 1429186.13 812984.37 496808.94 325706.31
3428.57 71280930.18 7837602.28 2898632.87 1394380.99 793742.14 486669.98 321818.17
3442.86 35640465.09 7218844.20 2758052.52 1387855.02 801439.03 508468.74 335277.11
3457.14 71280930.18 7548848.51 2671026.59 1342173.28 798552.69 486669.98 321519.08
3471.43 98011278.99 6682587.20 2657637.99 1313894.10 769689.34 489204.72 324210.87
3485.71 89101162.72 8538861.43 2885244.26 1409608.24 803363.25 502892.32 334080.76
3500.00 17820232.54 7053842.05 2804912.64 1385679.70 792780.02 493767.25 326603.57
3514.29 62370813.91 7012591.51 2758052.52 1346523.92 784121.02 483121.35 313443.72
3528.57 115831511.54 7713850.66 2898632.87 1431361.45 833188.72 509989.59 337071.63
3542.86 124741627.81 7713850.66 2898632.87 1450939.34 840885.61 518100.75 340361.60
3557.14 80191046.45 6765088.28 2517057.64 1303017.49 761030.34 468419.86 310153.76
3571.43 62370813.91 8373859.27 2737969.61 1405257.60 817794.93 513031.27 339165.25
3585.71 89101162.72 7218844.20 2724581.01 1403082.27 797590.58 493260.31 323014.52
3600.00 89101162.72 6847589.36 2885244.26 1409608.24 804325.36 486669.98 324509.96
3614.29 124741627.81 7507597.97 3045907.52 1483569.16 851468.84 515566.01 338267.98
3628.57 98011278.99 7961353.89 2831689.84 1366101.81 788931.58 478558.82 317032.77
3642.86 53460697.63 7755101.20 2764746.82 1398731.63 793742.14 496301.99 328996.27
3657.14 62370813.91 7878852.81 2891938.56 1440062.74 814908.59 491739.46 326005.40
3671.43 53460697.63 6517585.05 2724581.01 1396556.31 781234.68 488190.83 320621.82
3685.71 98011278.99 8002604.43 2811606.94 1390030.35 806249.59 487176.93 317331.86
3700.00 26730348.82 6847589.36 2604083.57 1348699.24 763916.67 486163.04 323612.70
3714.29 98011278.99 6600086.13 2764746.82 1390030.35 799514.81 493767.25 324210.87
3728.57 71280930.18 7425096.89 2851772.75 1459640.63 834150.83 515566.01 331688.06
3742.86 98011278.99 7631349.59 2898632.87 1390030.35 796628.47 497822.84 328398.10
3757.14 124741627.81 7755101.20 2938798.68 1394380.99 788931.58 489711.67 322715.43
3771.43 44550581.36 7383846.36 2791524.03 1413958.88 797590.58 493260.31 326902.66
3785.71 62370813.91 8332608.74 2999047.40 1496621.09 842809.83 516579.91 337669.81
3800.00 89101162.72 7672600.12 2918715.77 1444413.38 812984.37 500864.52 334080.76
3814.29 89101162.72 8126356.04 3199876.47 1535776.88 843771.94 508975.69 332884.41
3828.57 71280930.18 7920103.35 2704498.10 1440062.74 798552.69 513031.27 333183.50
3842.86 71280930.18 6270081.82 2711192.40 1392205.67 792780.02 500357.58 324509.96
3857.14 44550581.36 8208857.12 2978964.49 1481393.84 855317.28 520635.49 346941.52
3871.43 124741627.81 6558835.59 2604083.57 1400906.95 805287.48 502385.37 327201.75
3885.71 53460697.63 7425096.89 2751358.22 1320420.06 757181.89 480079.66 320322.73
3900.00 98011278.99 8291358.20 2912021.47 1411783.56 816832.82 514045.17 335576.20
3914.29 106921395.27 6765088.28 2831689.84 1407432.92 822605.49 519114.65 339464.33
3928.57 62370813.91 6847589.36 2858467.05 1385679.70 808173.81 515059.07 340660.68
3942.86 106921395.27 7672600.12 3019130.31 1485744.49 840885.61 522663.28 339464.33
3957.14 80191046.45 7548848.51 3012436.00 1463991.27 817794.93 516072.96 335277.11
3971.43 89101162.72 7012591.51 2851772.75 1411783.56 816832.82 518100.75 347240.61
3985.71 71280930.18 7548848.51 2764746.82 1392205.67 811060.15 517593.80 341258.86
4000.00 133651744.08 7837602.28 2784829.73 1370452.45 803363.25 497822.84 322715.43
4014.29 98011278.99 8250107.66 2704498.10 1313894.10 764878.79 488190.83 326304.48
4028.57 80191046.45 7466347.43 2858467.05 1400906.95 839923.50 527225.81 344249.73
4042.86 89101162.72 7755101.20 3039213.21 1485744.49 835112.94 511003.48 337669.81
4057.14 98011278.99 7425096.89 2677720.89 1385679.70 784121.02 483628.30 324509.96
4071.43 106921395.27 7631349.59 2958881.59 1437887.42 784121.02 501371.47 332585.32
4085.71 44550581.36 7177593.66 2992353.10 1463991.27 813946.48 512524.33 337669.81
4100.00 89101162.72 7507597.97 2938798.68 1435712.09 825491.82 513031.27 341557.95
